leiden_res_0.8,Female_Cocaine_R1,Female_Cocaine_R2,Female_Sucrose_R1,Female_Sucrose_R2,Male_Cocaine_R1,Male_Cocaine_R2,Male_Sucrose_R1,Male_Sucrose_R2
0,0.112,0.047,0.12,0.108,0.165,0.161,0.148,0.14
1,0.135,0.159,0.175,0.142,0.125,0.065,0.057,0.142
2,0.189,0.014,0.091,0.238,0.147,0.126,0.091,0.105
3,0.133,0.001,0.116,0.139,0.155,0.163,0.169,0.124
4,0.111,0.032,0.121,0.115,0.168,0.172,0.157,0.124
5,0.121,0.147,0.128,0.104,0.114,0.153,0.132,0.102
6,0.133,0.147,0.169,0.089,0.156,0.103,0.075,0.128
7,0.088,0.139,0.146,0.096,0.138,0.119,0.087,0.186
8,0.109,0.164,0.175,0.08,0.15,0.118,0.074,0.13
9,0.141,0.103,0.17,0.106,0.165,0.122,0.092,0.102
10,0.12,0.025,0.127,0.157,0.157,0.161,0.123,0.13
11,0.128,0.343,0.193,0.043,0.095,0.056,0.038,0.104
12,0.115,0.167,0.165,0.087,0.159,0.111,0.064,0.132
13,0.123,0.165,0.155,0.084,0.147,0.112,0.093,0.121
14,0.122,0.077,0.067,0.062,0.128,0.18,0.264,0.1
15,0.107,0.115,0.118,0.14,0.12,0.129,0.163,0.109
16,0.137,0.118,0.188,0.084,0.155,0.112,0.081,0.125
17,0.128,0.117,0.143,0.105,0.146,0.134,0.116,0.109
18,0.089,0.098,0.143,0.09,0.171,0.129,0.135,0.146
19,0.171,0.076,0.125,0.163,0.15,0.103,0.076,0.135
20,0.129,0.038,0.112,0.144,0.156,0.147,0.137,0.136
21,0.025,0.11,0.04,0.046,0.224,0.291,0.082,0.181
22,0.126,0.049,0.136,0.135,0.143,0.127,0.141,0.143
23,0.129,0.067,0.135,0.116,0.165,0.146,0.11,0.131
24,0.13,0.248,0.182,0.063,0.113,0.067,0.083,0.115
25,0.162,0.287,0.112,0.074,0.12,0.092,0.046,0.106
26,0.038,0.144,0.054,0.034,0.25,0.255,0.079,0.146
27,0.103,0.181,0.129,0.103,0.114,0.157,0.099,0.112
28,0.129,0.267,0.164,0.054,0.136,0.084,0.049,0.117
29,0.135,0.174,0.103,0.094,0.177,0.123,0.071,0.123
